"ONG","ISU","Context","Tip_actor","Nr_colaborari","Nr_ISU","Descriere"
"A.D.R.A. (Biserica Adventistă)","TL","Aflux refugiați","faith_based","1","1","Asigurare hrană rece și caldă, haine și materiale de igienă"
"A.F.A.D","SV","Aflux refugiați","community_orgs","1","1","distribuire KIT-uri de supraviețuire, distribuire hrană caldă"
"Acociația ELIEZER","SM","Aflux refugiați","community_orgs","1","1","Transport, cazare, hrană și îmbrăcăminte"
"ACTED","VS","Aflux refugiați","international","1","1","asigurare container cazare"
"ADRA","BIF","Aflux refugiați","humanitarian_ngos","1","1","Transport, cazare, hrănire, asistență medicală, asigurare îmbrăcăminte, asigurare articole pentru copii"
"AMURTEL","SV","Aflux refugiați","international","1","1","distribuirea de alimente neperisabile și apă îmbuteliată, articole de igienă personală"
"Anim ALL Delta Tulcea","TL","Aflux refugiați","community_orgs","1","1","Sprijin de specialite ptr animalele de companii deținute de refugiați"
"Animal Life","SB","Aflux refugiați","community_orgs","1","1","Cooperarea privind asigurarea adăpostirii animalelor de companie a cetățenilor ucraineni"
"ARHIEPISCOPIA SUCEVEI ȘI RĂDĂUȚILOR","SV","Aflux refugiați","faith_based","1","1","distribuirea de alimente neperisabile și apă îmbuteliată"
"ARMATA SALVĂRII","SV","Aflux refugiați","community_orgs","1","1","distribuirea de alimente neperisabile și apă îmbuteliată"
"As.Inimi Deschise spre manute intinse-Biserica Creștină Baptistă Emanuel Carei","SM","Aflux refugiați","faith_based","1","1","Cazare"
"Asociatia ""Sf. Nectarie"" Cluj","CJ","Pandemie","faith_based","1","1","Spital - cazare, masa, servicii medicale"
"Asociatia Beard Brothers","CJ","Aflux refugiați","community_orgs","1","1","Gestionarea ofertelor,monitorizarea și repartizarea spațiilor de cazare."
"Asociatia Casuta Bucuriei","CJ","Pandemie","community_orgs","1","1","Spații cazare"
"Asociatia Civic Suport","CJ","Aflux refugiați","community_orgs","1","1","Coordonare, Comunicare, Traduceri Call-center și dispecerat"
"Asociatia Daisler","CJ","Aflux refugiați","community_orgs","1","1","Sprijinire,suport și furnizare materiale informative"
"Asociatia Jugendzentrum Seligstadt","BV","Aflux refugiați","community_orgs","1","1","Implicati in amenajare spatii cazare, cumparaturi, gatit, curatenie, administrare imobil, organizare depozit haine/alimente"
"ASOCIATIA KIWANIS CLUB CLUJ","CJ","Pandemie","community_orgs","1","1","Produse alimentare"
"Asociatia Lions Club Genesis","CJ","Aflux refugiați","community_orgs","1","1","colectare resurse,voluntariat"
"Asociatia Medical International Rescue","CJ","Pandemie","volunteer_groups","1","1","Spații cazare"
